Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,China,46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK","495,422","146,789","38,476","38,476","101,256"
FAS Value,Canada,01,LIVE ANIMALS,"566,188,007","512,538,148","518,132,725","371,481,790","445,737,752"
FAS Value,Canada,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","7,116,195","8,094,539","8,432,776","6,227,137","7,171,357"
FAS Value,Mexico,10,CEREALS,"6,439,214,912","6,944,223,458","6,907,894,193","5,220,560,120","5,492,469,520"
FAS Value,China,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","70,969,751","54,463,211","55,587,822","47,172,870","16,084,926"
FAS Value,China,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY,"9,720,792","8,693,046","7,037,736","5,236,874","7,255,767"
FAS Value,Canada,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","907,659,952","1,090,504,401","990,125,753","769,727,079","769,351,028"
FAS Value,Canada,21,MISCELLANEOUS EDIBLE PREPARATIONS,"2,598,865,217","2,870,288,629","3,102,674,728","2,338,788,954","2,452,844,055"
FAS Value,Mexico,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES","34,928,341","46,910,261","51,340,114","37,418,224","48,137,402"
FAS Value,Canada,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","30,917,998,965","34,680,926,460","37,601,986,957","28,691,594,262","28,746,216,549"
FAS Value,China,10,CEREALS,"7,612,705,666","7,421,758,129","3,221,436,524","2,468,594,068","1,868,743,353"
FAS Value,China,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES","117,364,068","60,377,010","72,020,762","58,803,696","52,401,854"
FAS Value,Mexico,11,MILLING INDUSTRY PRODUCTS; MALT; STARCHES; INULIN; WHEAT GLUTEN,"534,526,391","522,990,299","575,371,153","442,504,316","472,420,633"
FAS Value,Mexico,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","1,863,744,078","2,479,687,468","2,374,314,568","1,781,160,725","1,764,257,232"
FAS Value,China,21,MISCELLANEOUS EDIBLE PREPARATIONS,"377,139,159","335,439,291","348,802,414","256,919,788","301,314,311"
FAS Value,Mexico,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","2,320,740,371","2,475,773,984","2,191,487,801","1,730,216,415","1,503,995,337"
FAS Value,China,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FEED,"652,784,908","757,883,403","961,427,157","753,318,934","660,278,286"
FAS Value,China,47,PULP OF WOOD OR OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD,"1,841,213,963","1,994,355,586","1,677,840,926","1,273,433,573","896,911,900"
FAS Value,Canada,78,LEAD AND ARTICLES THEREOF,"17,250,941","16,557,671","13,817,887","10,554,509","12,081,340"
FAS Value,Canada,05,"PRODUCTS OF ANIMAL ORIGIN, NESOI","115,337,272","110,119,162","103,129,273","77,572,903","85,221,425"
